iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.204583966441,0.206034555746,0.204573348044,0.579580745342,0.571428571429,0.582910934106,0.00312583900001
100,0.201958735376,0.203168907968,0.202315256919,0.586956521739,0.576086956522,0.585083272991,0.329807948
200,0.201597392705,0.203044986725,0.202143674879,0.586956521739,0.576086956522,0.585083272991,0.636171603
300,0.20022358108,0.201521673761,0.200538523339,0.603649068323,0.604037267081,0.603186097031,0.959731459
400,0.199241374926,0.200333218595,0.199395949616,0.60597826087,0.604037267081,0.605358435916,1.272728743
500,0.198126197465,0.199561889154,0.198395791647,0.60597826087,0.604037267081,0.604634322954,1.593978517
600,0.197763617614,0.198848642364,0.198062351017,0.60597826087,0.605590062112,0.605358435916,1.944129033
700,0.196718907946,0.19726220256,0.197113239443,0.60597826087,0.605590062112,0.605358435916,2.295124218
800,0.196615762308,0.197194487641,0.197170329375,0.60597826087,0.605590062112,0.605358435916,2.628459504
900,0.196517960923,0.197175383611,0.197037415441,0.60597826087,0.605590062112,0.606082548878,2.956364859
1000,0.196483525352,0.197176778846,0.19700780194,0.60597826087,0.605590062112,0.606082548878,3.29007533
1100,0.196381491424,0.197134848853,0.196963740793,0.60597826087,0.605590062112,0.606082548878,3.648198647
1200,0.196314134111,0.197037607566,0.196870257712,0.60597826087,0.605590062112,0.606082548878,3.970945438
1300,0.196303001479,0.197028659389,0.196857096048,0.60597826087,0.605590062112,0.606082548878,4.289713831
1400,0.196188901351,0.196814926096,0.196703205881,0.606366459627,0.605590062112,0.606082548878,4.602861678
1500,0.1957745693,0.195845949044,0.196337850837,0.607142857143,0.605590062112,0.606806661839,4.91309781
1600,0.19555597418,0.195764096981,0.196161080813,0.607531055901,0.605590062112,0.606806661839,5.229133168
1700,0.195182551882,0.19509924616,0.195615118833,0.607142857143,0.605590062112,0.606806661839,5.554434111
1800,0.194295237409,0.194412139915,0.194981664766,0.607142857143,0.605590062112,0.606806661839,5.872411935
1900,0.167996604057,0.172783397358,0.171631870686,0.64751552795,0.63198757764,0.632150615496,6.183879473
2000,0.164389844093,0.169125647972,0.167878851332,0.651785714286,0.641304347826,0.638667632151,6.491158095
2100,0.163128667711,0.168173994614,0.166501093655,0.653338509317,0.641304347826,0.64301230992,6.801641717
2200,0.14233621962,0.153661376056,0.144465444081,0.6875,0.664596273292,0.681390296886,7.119021587
2300,0.126873691571,0.137864201737,0.123836298759,0.696816770186,0.658385093168,0.702389572773,7.491310328
2400,0.110624282581,0.116903329828,0.106280088594,0.738354037267,0.712732919255,0.748008689356,7.821279886
2500,0.108829436532,0.115365529878,0.104515566262,0.740295031056,0.72049689441,0.752353367125,8.14883697
2600,0.103939422235,0.110564461402,0.100323243692,0.746894409938,0.717391304348,0.759594496741,8.453235527
2700,0.101229832436,0.107677302295,0.0993855787634,0.750776397516,0.725155279503,0.76321506155,8.770249018
2800,0.100495664759,0.106828112409,0.098292461086,0.751940993789,0.723602484472,0.764663287473,9.102438983
2900,0.0979610443985,0.103844396461,0.0956594196244,0.759704968944,0.739130434783,0.771180304127,9.426435119
3000,0.0964862236694,0.103026702246,0.0943139426659,0.770574534161,0.745341614907,0.776249094859,9.734795881
3100,0.0938987546915,0.0998504004992,0.0921369845908,0.778338509317,0.759316770186,0.789283128168,10.049933718
3200,0.0923728845334,0.0985818164228,0.0907458462851,0.784161490683,0.760869565217,0.787834902245,10.364098548
3300,0.0912483068999,0.0971412321967,0.089895148004,0.78649068323,0.765527950311,0.788559015206,10.684599817
3400,0.090148034873,0.0957872122248,0.0888993939082,0.788819875776,0.767080745342,0.790731354091,10.99975909
3500,0.0871726271981,0.0864338332275,0.0837720174356,0.787267080745,0.784161490683,0.807385952209,11.320451615
3600,0.0831762055038,0.082019770017,0.0764054853651,0.791925465839,0.791925465839,0.817523533671,11.640245278
3700,0.082335424144,0.0814918594377,0.0757726897947,0.798136645963,0.798136645963,0.819695872556,11.943446075
3800,0.0807932165808,0.0806128113845,0.0744341511862,0.804347826087,0.801242236025,0.822592324403,12.253659501
3900,0.0793754473579,0.078679788486,0.0719736865371,0.807841614907,0.805900621118,0.827661115134,12.563286384
4000,0.0721334636517,0.0690308272196,0.0649187830673,0.825310559006,0.835403726708,0.848660391021,12.868504809
4100,0.0706655314325,0.0685585147562,0.0648700673427,0.828027950311,0.832298136646,0.847936278059,13.173619458
4200,0.0690694447809,0.0672025343616,0.0633789257461,0.833074534161,0.840062111801,0.851556842867,13.488419284
4300,0.0681786365283,0.0665796283314,0.0623816226511,0.83501552795,0.843167701863,0.853729181752,13.808551372
4400,0.0671144599588,0.0659251889107,0.0617721640655,0.836956521739,0.841614906832,0.850832729906,14.126343361
4500,0.0660082150898,0.06534189853,0.060771569584,0.839285714286,0.844720496894,0.852280955829,14.447277758
4600,0.0650103269967,0.0648504152697,0.0602204837504,0.841614906832,0.844720496894,0.855901520637,14.766086535
4700,0.063654326107,0.0647870667755,0.0594012838712,0.847437888199,0.847826086957,0.855901520637,15.082490649
4800,0.0625062859463,0.0640467578704,0.0585360150695,0.849378881988,0.846273291925,0.856625633599,15.403983266
4900,0.062065181759,0.0636774373628,0.0583931209067,0.851708074534,0.849378881988,0.858073859522,15.72564919
5000,0.060845429271,0.0634059039206,0.0574687342265,0.855201863354,0.85248447205,0.862418537292,16.043868006
5100,0.0605753349156,0.0630077273698,0.0573110145018,0.85597826087,0.854037267081,0.865314989138,16.365103139
5200,0.0598925330997,0.062448989608,0.0566644087302,0.857142857143,0.855590062112,0.864590876177,16.749527583
5300,0.0594824862728,0.0622237833557,0.0560190898196,0.858307453416,0.855590062112,0.865314989138,17.230760094
