iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.16491169421,0.165080890458,0.162281431208,0.541537267081,0.495341614907,0.543084721217,0.119886709
100,0.0939942770253,0.0925205382457,0.090918371942,0.76048136646,0.760869565217,0.783490224475,9.567978966
200,0.0958280580616,0.0952876603113,0.092889590056,0.754658385093,0.757763975155,0.78131788559,19.009758187
300,0.0970128030979,0.097032478469,0.0941619784123,0.751552795031,0.745341614907,0.771180304127,28.903827251
400,0.0922933713109,0.0923405709655,0.0895781776128,0.766692546584,0.75,0.793627805938,39.204953184
500,0.0893861389309,0.0887788890682,0.0860981382009,0.791925465839,0.774844720497,0.819695872556,49.481749595
600,0.0928324772204,0.0916468858589,0.0899858646934,0.784549689441,0.773291925466,0.8037653874,60.008276252
700,0.0909266127643,0.0892942873464,0.0873926990336,0.775621118012,0.760869565217,0.800868935554,70.427281604
800,0.0858773478354,0.0863579521866,0.083621678458,0.780279503106,0.762422360248,0.789283128168,80.837057882
900,0.0826301066565,0.0850166973569,0.0817569229586,0.76397515528,0.756211180124,0.769732078204,91.447989588
1000,0.0768341715567,0.0787743989805,0.0753404316605,0.783385093168,0.771739130435,0.793627805938,101.685059798
1100,0.0717141605335,0.0726324247624,0.069814939761,0.800077639752,0.791925465839,0.8037653874,111.615655562
1200,0.070366540449,0.0703284966855,0.0697118883341,0.803571428571,0.801242236025,0.805213613324,122.119816949
1300,0.0691901591823,0.0704186748913,0.067554862563,0.813664596273,0.79347826087,0.818247646633,132.41808431
1400,0.0672945218995,0.0690728642503,0.0660607286084,0.82298136646,0.802795031056,0.821144098479,142.354747706
1500,0.0687251079843,0.0694217905055,0.0666356820117,0.811723602484,0.79347826087,0.821144098479,152.436527863
1600,0.0696800330854,0.0721165334434,0.0683519488073,0.81599378882,0.805900621118,0.811006517017,162.645226906
1700,0.0659947418678,0.0666447580871,0.0645128902138,0.84899068323,0.840062111801,0.855177407676,172.698112229
1800,0.0647749948465,0.0644543745055,0.0618457971641,0.851319875776,0.847826086957,0.868211440985,182.734495931
1900,0.0658241111602,0.0648938030842,0.0624411864499,0.842391304348,0.832298136646,0.858073859522,192.758494168
2000,0.0657075270169,0.065862430898,0.0634709607763,0.84899068323,0.829192546584,0.858073859522,203.023751584
2100,0.0657385307548,0.0651811851911,0.0629328085374,0.849378881988,0.836956521739,0.860246198407,212.399547397
2200,0.0566144771515,0.0568505595924,0.05223619381,0.859860248447,0.846273291925,0.886314265025,222.379473533
2300,0.0561902990043,0.0548744195885,0.0514078019805,0.859083850932,0.854037267081,0.884866039102,232.433143593
2400,0.054871527693,0.0525086020954,0.0496870100243,0.860248447205,0.872670807453,0.887762490949,243.002556168
2500,0.0559082499984,0.0543067267151,0.0509714907534,0.861801242236,0.864906832298,0.884866039102,252.190443238
2600,0.0553408436024,0.0545689904911,0.0522264123271,0.863354037267,0.864906832298,0.879797248371,261.235478029
2700,0.0564908556084,0.0565379459388,0.0532993354545,0.856366459627,0.855590062112,0.877624909486,270.338073206
2800,0.0564055302041,0.0560010441011,0.0525989123679,0.856366459627,0.855590062112,0.878349022448,279.336416071
2900,0.0548496279976,0.0546702070541,0.0517727146579,0.857919254658,0.863354037267,0.878349022448,288.255669853
3000,0.0541438503052,0.0543494029444,0.0514565239778,0.861413043478,0.872670807453,0.879073135409,297.259510661
3100,0.0539284731132,0.0517235592598,0.0496898587116,0.864906832298,0.872670807453,0.881969587256,306.584081146
3200,0.0546273865807,0.0539534003295,0.0490897077457,0.857531055901,0.855590062112,0.872556118755,316.651822323
3300,0.0520251368391,0.0505700021411,0.0480640043999,0.866459627329,0.869565217391,0.878349022448,326.366377996
3400,0.051555103017,0.0502885132618,0.047836202773,0.86451863354,0.871118012422,0.875452570601,335.99721295
3500,0.0508950985225,0.0495318464236,0.0467366578295,0.863742236025,0.863354037267,0.879797248371,345.583808777
3600,0.0521102189343,0.0510957694238,0.0473989329808,0.858307453416,0.86801242236,0.880521361332,355.877609919
3700,0.0529315384618,0.0516629906261,0.048778911491,0.854037267081,0.86801242236,0.873280231716,365.960558688
3800,0.0524126002655,0.0511557504811,0.04855963968,0.858307453416,0.871118012422,0.872556118755,375.66235075
3900,0.0519325726881,0.0519502390146,0.0484569772504,0.862577639752,0.855590062112,0.875452570601,385.191840005
4000,0.0513285817005,0.0515823749149,0.0481839043724,0.863354037267,0.858695652174,0.878349022448,394.764236139
4100,0.051501757924,0.0501346608739,0.0470800902334,0.868400621118,0.866459627329,0.892107168718,405.017987409
4200,0.0513818246467,0.0503617376014,0.0471286043422,0.865683229814,0.86801242236,0.881245474294,415.268888885
4300,0.0508936761371,0.0505735447608,0.0484314791312,0.860248447205,0.864906832298,0.874004344678,425.925104356
4400,0.0511032992137,0.0506607250142,0.0489754454056,0.86102484472,0.864906832298,0.872556118755,435.550785701
4500,0.0513168408756,0.050919539793,0.0492900220146,0.859083850932,0.861801242236,0.868935553946,444.921256449
4600,0.0517267038116,0.0523360452471,0.0499860073535,0.862577639752,0.861801242236,0.876176683563,454.927841295
4700,0.0504291115056,0.0509231331663,0.0473020084248,0.86451863354,0.858695652174,0.882693700217,465.105166379
4800,0.0500104217733,0.0498207623744,0.0466564826978,0.863354037267,0.86801242236,0.879797248371,474.980825127
4900,0.050240969703,0.0502971446163,0.0470932705279,0.863742236025,0.864906832298,0.881245474294,485.128492313
5000,0.0505597689481,0.0509719270958,0.0476453501961,0.865683229814,0.863354037267,0.883417813179,495.072714812
5100,0.0500923571954,0.0509455913357,0.0477086139434,0.868788819876,0.861801242236,0.880521361332,505.177483386
5200,0.0498123456113,0.0499174812282,0.0466051263753,0.870729813665,0.866459627329,0.881969587256,514.91160842
5300,0.050105395789,0.049618381179,0.04652530817,0.871118012422,0.863354037267,0.882693700217,524.862214875
5400,0.0505392214711,0.0526639111958,0.0489503344128,0.87150621118,0.864906832298,0.88414192614,534.879251343
5500,0.0511568909475,0.0481260418227,0.0470313886156,0.861413043478,0.874223602484,0.882693700217,545.237240822
5600,0.0504884871727,0.0473483260581,0.046036535805,0.863742236025,0.872670807453,0.883417813179,555.672722305
5700,0.0486156987149,0.0455053426806,0.0441227423066,0.871894409938,0.883540372671,0.889934829833,566.073688513
5800,0.0490006476416,0.0458296655714,0.0448645629447,0.872670807453,0.880434782609,0.891383055757,576.073410135
5900,0.0488458665282,0.0454305807318,0.0443893013132,0.875388198758,0.883540372671,0.89283128168,586.611504736
6000,0.0489493130188,0.0454216119308,0.0443856933398,0.875388198758,0.880434782609,0.892107168718,597.359392803
6100,0.0501314547325,0.0469329383374,0.0475343592519,0.872282608696,0.880434782609,0.878349022448,607.544613912
6200,0.0486669540441,0.045283808969,0.0461150731697,0.871894409938,0.880434782609,0.878349022448,618.07714825
6300,0.0495626372301,0.0463716094191,0.04693597508,0.872282608696,0.880434782609,0.882693700217,627.829169498
6400,0.0492795918951,0.0446233670217,0.0493083360022,0.862965838509,0.880434782609,0.859522085445,636.93149167
6500,0.0502395207184,0.0473754925559,0.0490914426869,0.868788819876,0.878881987578,0.868935553946,646.077080904
6600,0.0507712035344,0.0477980786455,0.0483936417843,0.865683229814,0.877329192547,0.874728457639,655.790294745
6700,0.0508197293265,0.04710757275,0.0474443715226,0.868788819876,0.88198757764,0.873280231716,665.679832145
6800,0.0504387923475,0.0465840867972,0.0470937794938,0.868400621118,0.875776397516,0.879073135409,675.469099381
6900,0.0506967800398,0.0473825010717,0.0476588824768,0.869565217391,0.874223602484,0.874728457639,685.867706019
7000,0.0506567266501,0.0470518814163,0.047805290096,0.872282608696,0.874223602484,0.875452570601,695.75928312
7100,0.0496595615083,0.0461661932561,0.0465711075972,0.873447204969,0.874223602484,0.879073135409,705.423700854
7200,0.0494560044183,0.0468315990243,0.0473918277667,0.873447204969,0.878881987578,0.881245474294,714.882972114
7300,0.0494965083038,0.047490919734,0.0479204641736,0.875776397516,0.880434782609,0.879797248371,724.466733195
7400,0.0492649822594,0.046292183364,0.046654973383,0.873835403727,0.883540372671,0.882693700217,734.304549565
7500,0.0496960073495,0.0466696371577,0.0474903163743,0.873835403727,0.885093167702,0.876900796524,744.453718368
7600,0.0491377909017,0.0467477759756,0.0471828115965,0.877717391304,0.883540372671,0.879073135409,754.195490899
7700,0.0497010459677,0.0471910331357,0.047413564095,0.869953416149,0.871118012422,0.877624909486,763.43028233
7800,0.0494279989589,0.0476573552735,0.0474697507691,0.873447204969,0.880434782609,0.883417813179,773.228990198
7900,0.0488325744633,0.0464997575396,0.0464198465975,0.878881987578,0.878881987578,0.88414192614,782.357354163
8000,0.0487456630513,0.0464549038129,0.0465043078324,0.87849378882,0.878881987578,0.882693700217,791.658546267
