iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.127172497153,0.126971401876,0.128101335569,0.501164596273,0.481366459627,0.489500362056,0.094259041
100,0.0944434151995,0.0902880056393,0.0931662134112,0.725543478261,0.756211180124,0.737146994931,7.015430019
200,0.0923924979114,0.0876433857961,0.0913557738096,0.726708074534,0.751552795031,0.727009413469,14.00594736
300,0.0919638567261,0.0882112603436,0.0910123234032,0.733695652174,0.757763975155,0.740767559739,20.805384908
400,0.0915972348676,0.0884866845581,0.0896098991923,0.749611801242,0.781055900621,0.764663287473,27.68008791
500,0.0886162106156,0.0858010114216,0.0875461437753,0.739906832298,0.757763975155,0.748732802317,34.531756631
600,0.0890488304657,0.0862491959359,0.0870932354942,0.744177018634,0.774844720497,0.766111513396,41.542070629
700,0.0889869398425,0.085693165204,0.0859516297038,0.750776397516,0.774844720497,0.772628530051,48.499527689
800,0.0877212353223,0.0853361682146,0.0855370679813,0.750776397516,0.773291925466,0.766835626358,55.451752929
900,0.0862799413091,0.0833437460784,0.0844021773706,0.744177018634,0.768633540373,0.758146270818,62.510385044
1000,0.0866071825451,0.0826354882843,0.0841720084747,0.747282608696,0.770186335404,0.76321506155,69.515588547
1100,0.08601344986,0.0823613249162,0.0837882925057,0.758152173913,0.781055900621,0.774076755974,76.559798028
1200,0.0840771524608,0.0813592043841,0.0813603937923,0.751552795031,0.777950310559,0.769732078204,83.572261236
1300,0.084525915584,0.080090987587,0.0801854447886,0.767080745342,0.79347826087,0.801593048516,90.527032589
1400,0.0837532021035,0.0804667195444,0.0799189743382,0.772903726708,0.791925465839,0.802317161477,97.611920182
1500,0.0821098649735,0.0803402724834,0.0789510208452,0.762422360248,0.787267080745,0.786386676322,104.699844199
1600,0.0810595288835,0.0791178530295,0.078641083518,0.768245341615,0.781055900621,0.792179580014,111.853156078
1700,0.0818741547642,0.0800723680098,0.0793847249694,0.76048136646,0.785714285714,0.779145546705,118.895662793
1800,0.0811137443673,0.0793379410603,0.0794345010077,0.755434782609,0.774844720497,0.767559739319,126.446884625
1900,0.0806363470034,0.0789453229027,0.0791586528885,0.760093167702,0.781055900621,0.782041998552,133.99698828
2000,0.0787153010017,0.0773253581951,0.0775464208986,0.774068322981,0.787267080745,0.789283128168,142.00231742
2100,0.0784796723274,0.0775875178946,0.0774564462386,0.772127329193,0.788819875776,0.784938450398,149.778367248
2200,0.0774306051823,0.0763581375636,0.0761928322183,0.772127329193,0.791925465839,0.78566256336,157.516577492
2300,0.0786727208754,0.0765931921741,0.0776882769976,0.781444099379,0.790372670807,0.79000724113,165.473299148
2400,0.0761912290645,0.0772649406186,0.0761469543161,0.792313664596,0.79347826087,0.802317161477,174.02392792
2500,0.0763368148409,0.0776931042649,0.0764938413202,0.784937888199,0.791925465839,0.790731354091,181.717599612
2600,0.0768821114936,0.077554496229,0.0768900709512,0.78649068323,0.798136645963,0.797972483707,189.334644343
2700,0.0740184291266,0.0737546580275,0.0730831381538,0.795419254658,0.799689440994,0.805213613324,197.14646091
2800,0.0729825838737,0.0727217423017,0.0724634156337,0.782608695652,0.798136645963,0.794351918899,205.354516076
2900,0.0724490239558,0.0722765452064,0.0716307985576,0.806677018634,0.807453416149,0.815351194786,213.422429754
3000,0.0730885760786,0.0725896016713,0.0717666199002,0.796195652174,0.799689440994,0.80811006517,221.271653298
3100,0.0731988468846,0.0727071207333,0.0718986473755,0.800854037267,0.804347826087,0.813902968863,229.557642927
3200,0.0726894419534,0.0718011710232,0.0711174422049,0.799301242236,0.805900621118,0.809558291093,237.787584386
3300,0.0721835281616,0.0712436218196,0.0704482433434,0.800077639752,0.804347826087,0.811730629978,245.776414162
3400,0.0727931817186,0.0711039075301,0.0708690143348,0.79347826087,0.804347826087,0.807385952209,253.901474915
3500,0.0767094331947,0.0761408303797,0.0757382556904,0.769798136646,0.785714285714,0.775524981897,261.796694525
3600,0.0755044451559,0.0743377604993,0.0737879679169,0.772903726708,0.791925465839,0.789283128168,269.282143336
3700,0.0755174337344,0.0741235565827,0.073691998137,0.782220496894,0.795031055901,0.803041274439,277.14447478
3800,0.0757520409939,0.0754222397428,0.0740152227474,0.788431677019,0.801242236025,0.80811006517,285.185586245
3900,0.0747153520952,0.0752880898036,0.0730664978123,0.788043478261,0.796583850932,0.80811006517,292.609098156
4000,0.0749009028032,0.0742957611276,0.0730161588269,0.791537267081,0.80900621118,0.81245474294,299.895354768
4100,0.0755312874074,0.0751105908387,0.0740914199308,0.793866459627,0.812111801242,0.811730629978,307.489342445
4200,0.0761810301557,0.0752806590825,0.0744144665145,0.791149068323,0.807453416149,0.810282404055,315.375810646
4300,0.0746824605152,0.0736174997985,0.0738736370713,0.804736024845,0.810559006211,0.806661839247,323.264637936
4400,0.0744090407356,0.0744824599157,0.0734325398333,0.79852484472,0.807453416149,0.803041274439,331.077561704
4500,0.0746854855484,0.0750122554507,0.073964631891,0.795807453416,0.804347826087,0.800868935554,338.652760765
4600,0.0746147909432,0.0745125187143,0.0733510295682,0.799689440994,0.80900621118,0.804489500362,346.386321916
4700,0.0740505958872,0.0742312930523,0.0728915785803,0.801630434783,0.80900621118,0.805937726285,354.001305553
4800,0.0762118510332,0.0759516006549,0.0748046726733,0.802406832298,0.79347826087,0.811730629978,362.151529408
4900,0.0763286189549,0.0760228511101,0.074564719742,0.801242236025,0.801242236025,0.81245474294,369.87640286
5000,0.0759441064637,0.0755565246543,0.0741192335215,0.810170807453,0.795031055901,0.819695872556,377.869635093
5100,0.0746709657873,0.0747601604661,0.0738562355351,0.810170807453,0.799689440994,0.819695872556,385.577805974
5200,0.0767645516153,0.076825608401,0.0748840682174,0.80551242236,0.795031055901,0.809558291093,393.83229056
5300,0.0776225606986,0.079188826977,0.0776880511227,0.803183229814,0.799689440994,0.800868935554,401.487707899
5400,0.0767644418519,0.0750246715854,0.0749473946848,0.805124223602,0.802795031056,0.811730629978,409.505752969
5500,0.0750443482098,0.0755087352023,0.0737856711364,0.806288819876,0.816770186335,0.818247646633,417.506704567
5600,0.0734684860684,0.073063525225,0.0721890233693,0.811335403727,0.812111801242,0.816075307748,425.544488398
5700,0.0737531958111,0.0746809712047,0.073130703199,0.808618012422,0.805900621118,0.81679942071,433.581689023
5800,0.0739222690272,0.0755019673206,0.0739658918308,0.806677018634,0.802795031056,0.806661839247,441.518585608
5900,0.0732816512783,0.0733974663377,0.0723777382936,0.810559006211,0.812111801242,0.811730629978,449.475041702
6000,0.0725291221357,0.072596725716,0.0714033150263,0.8125,0.813664596273,0.818247646633,457.433496058
6100,0.0721508446784,0.0736119797948,0.0718673459391,0.810559006211,0.810559006211,0.815351194786,465.322474386
6200,0.0721017742878,0.0738235576297,0.0717314511714,0.811723602484,0.807453416149,0.818971759594,473.089148131
6300,0.071950874283,0.0734012369591,0.0712571120776,0.810559006211,0.802795031056,0.81679942071,480.894780544
6400,0.0720713810028,0.0728624945331,0.0712395780667,0.810170807453,0.795031055901,0.813178855902,488.804646413
6500,0.0726165089132,0.0720679278502,0.0712149983474,0.813276397516,0.804347826087,0.817523533671,496.930548668
6600,0.0726319606619,0.0729894830547,0.072632693347,0.807841614907,0.80900621118,0.811730629978,505.096185893
6700,0.0702065993667,0.0693388154235,0.0692983178318,0.81599378882,0.812111801242,0.816075307748,513.101894941
